md,GR
5168.5,81.504
5169.0,83.506
5169.5,85.261
5170.0,84.353
5170.5,77.3
5171.0,77.666
5171.5,79.182
5172.0,79.823
5172.5,79.933
5173.0,79.882
5173.5,79.072
5174.0,74.316
5174.5,73.962
5175.0,73.78
5175.5,73.782
5176.0,73.784
5176.5,73.506
5177.0,71.634
5177.5,68.749
5178.0,63.838
5178.5,60.409
5179.0,60.401
5179.5,64.817
5180.0,64.452
5180.5,61.946
5181.0,62.052
5181.5,63.905
5182.0,66.534
5182.5,69.164
5183.0,73.449
5183.5,80.54
5184.0,90.264
5184.5,91.264
5185.0,90.235
5185.5,88.22
5186.0,86.204
5186.5,85.143
5187.0,84.949
5187.5,84.741
5188.0,84.525
5188.5,83.85
5189.0,83.166
5189.5,82.482
5190.0,81.806
5190.5,81.671
5191.0,81.617
5191.5,81.619
5192.0,81.621
5192.5,81.027
5193.0,80.238
5193.5,79.449
5194.0,76.576
5194.5,77.264
5195.0,79.76
5195.5,82.948
5196.0,84.982
5196.5,85.094
5197.0,86.174
5197.5,88.337
5198.0,90.364
5198.5,91.924
5199.0,92.46
5199.5,92.682
5200.0,91.79
5200.5,82.298
5201.0,81.07
5201.5,82.244
5202.0,84.527
5202.5,86.315
5203.0,86.512
5203.5,81.674
5204.0,72.153
5204.5,67.53
5205.0,61.37
5205.5,56.214
5206.0,54.167
5206.5,54.502
5207.0,60.159
5207.5,64.194
5208.0,63.586
5208.5,57.179
5209.0,50.086
5209.5,42.903
5210.0,42.499
5210.5,46.422
5211.0,48.55
5211.5,50.678
5212.0,52.495
5212.5,55.436
5213.0,57.747
5213.5,56.675
5214.0,53.965
5214.5,53.181
5215.0,55.188
5215.5,58.609
5216.0,60.248
5216.5,61.888
5217.0,63.367
5217.5,71.189
5218.0,72.518
5218.5,69.63
5219.0,66.433
5219.5,64.744
5220.0,66.399
5220.5,74.357
5221.0,76.405
5221.5,73.05
5222.0,71.741
5222.5,72.043
5223.0,74.62
5223.5,76.988
5224.0,76.988
5224.5,76.963
5225.0,76.594
5225.5,75.861
5226.0,74.797
5226.5,73.715
5227.0,72.633
5227.5,71.551
5228.0,70.952
5228.5,70.484
5229.0,70.155
5229.5,70.146
5230.0,73.13
5230.5,77.223
5231.0,81.316
5231.5,83.551
5232.0,83.25
5232.5,82.44
5233.0,80.45
5233.5,77.892
5234.0,76.791
5234.5,76.826
5235.0,79.466
5235.5,84.116
5236.0,83.855
5236.5,80.017
5237.0,75.044
5237.5,69.172
5238.0,65.06
5238.5,64.898
5239.0,66.493
5239.5,69.58
5240.0,72.667
5240.5,74.58
5241.0,74.887
5241.5,75.227
5242.0,76.542
5242.5,78.547
5243.0,80.383
5243.5,81.136
5244.0,80.882
5244.5,79.957
5245.0,73.735
5245.5,73.647
5246.0,75.423
5246.5,77.286
5247.0,78.863
5247.5,79.793
5248.0,81.703
5248.5,84.414
5249.0,86.601
5249.5,86.32
5250.0,82.188
5250.5,83.837
5251.0,85.289
5251.5,80.806
5252.0,76.169
5252.5,72.053
5253.0,70.417
5253.5,73.412
5254.0,74.824
5254.5,70.858
5255.0,64.205
5255.5,52.854
5256.0,43.924
5256.5,44.212
5257.0,48.517
5257.500000000001,52.064
5258.0,56.704
5258.5,63.372
5259.0,72.124
5259.500000000001,75.638
5260.0,75.922
5260.5,71.562
5261.0,70.871
5261.500000000001,73.612
5262.0,79.488
5262.5,81.906
5263.0,81.634
5263.500000000001,72.762
5264.0,70.078
5264.5,69.914
5265.0,71.311
5265.500000000001,74.689
5266.0,78.256
5266.5,79.203
5267.0,79.946
5267.500000000001,79.011
5268.0,76.591
5268.5,70.698
5269.0,69.969
5269.500000000001,71.48
5270.0,74.563
5270.5,77.645
5271.0,87.768
5271.500000000001,83.012
5272.0,76.91
5272.5,75.43
5273.0,75.435
5273.500000000001,75.44
5274.0,75.927
5274.5,77.253
5275.0,81.185
5275.500000000001,87.873
5276.0,89.627
5276.5,88.976
5277.0,87.148
5277.500000000001,85.353
5278.0,84.411
5278.5,85.155
5279.0,85.583
5279.500000000001,84.62
5280.0,80.633
5280.5,79.348
5281.0,80.448
5281.500000000001,81.881
5282.0,82.933
5282.5,83.499
5283.0,82.689
5283.500000000001,79.642
5284.0,77.498
5284.5,77.427
5285.0,78.925
5285.500000000001,81.775
5286.0,84.625
5286.5,87.16
5287.0,86.895
5287.500000000001,85.447
5288.0,58.269
5288.5,48.231
5289.0,41.725
5289.500000000001,41.35
5290.0,47.664
5290.5,54.196
5291.0,56.604
5291.500000000001,57.337
5292.0,57.926
5292.5,61.856
5293.0,66.816
5293.500000000001,74.554
5294.0,80.174
5294.5,82.962
5295.0,82.807
5295.500000000001,81.654
5296.0,75.768
5296.5,69.882
5297.0,65.285
5297.500000000001,65.218
5298.0,66.643
5298.5,73.646
5299.0,76.269
5299.500000000001,78.893
